Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Total Reps,Total Sets,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2025-12-17 12:03:07,false,"Strength","0.00","399","00:41:52","130","151","--","--","--","--","--","--","--","0.0","--","--","--","No","00:41:52","1","--","--","--","--","--","--","--","--","00:00:00","00:41:52","--","--"
Strength Training,2025-12-12 13:09:13,false,"Strength","0.00","380","00:40:45","129","149","--","--","--","--","--","--","--","0.0","--","--","--","No","00:40:45","1","--","--","--","--","--","--","--","--","00:00:00","00:40:45","--","--"
Cycling,2025-12-11 17:26:27,false,"Berlin Cycling","7.82","298","00:26:21","130","157","--","--","17.8","28.1","28","14","--","0.0","--","--","--","No","00:09:24.4","2","--","--","--","--","--","--","--","--","00:23:34","00:26:21","26","56"
Strength Training,2025-12-11 08:28:41,false,"Strength","0.00","153","00:20:09","116","143","--","--","--","--","--","--","--","0.0","--","--","--","No","00:20:09","1","--","--","--","--","--","--","--","--","00:00:00","00:20:09","--","--"
Cycling,2025-12-11 07:53:48,false,"Berlin Cycling","7.77","288","00:28:07","133","152","--","--","16.6","30.9","31","48","--","0.0","--","--","--","No","00:09:01.3","2","--","--","--","--","--","--","--","--","00:23:35","00:28:07","25","62"
Strength Training,2025-12-10 12:21:59,false,"Strength","0.00","233","00:26:49","122","158","--","--","--","--","--","--","--","0.0","--","--","--","No","00:26:49","1","--","--","--","--","--","--","--","--","00:00:00","00:26:49","--","--"
Cycling,2025-12-09 16:36:03,false,"Berlin Cycling","5.15","205","00:19:00","138","163","--","--","16.3","30.0","43","20","--","0.0","--","--","--","No","00:00:58.5","2","--","--","--","--","--","--","--","--","00:17:16","00:19:00","33","65"
Cycling,2025-12-09 07:56:54,false,"Berlin Cycling","7.78","277","00:26:44","135","162","--","--","17.5","29.3","23","41","--","0.0","--","--","--","No","00:09:49.8","2","--","--","--","--","--","--","--","--","00:23:25","00:26:44","25","61"
Strength Training,2025-12-01 11:39:36,false,"Strength","0.00","218","00:23:34","127","175","--","--","--","--","--","--","--","0.0","--","--","--","No","00:23:34","1","--","--","--","--","--","--","--","--","00:00:00","00:23:34","--","--"
Cycling,2025-11-29 17:17:59,false,"Berlin Cycling","10.55","272","00:36:50","117","145","--","--","17.2","27.3","26","28","--","0.0","--","--","--","No","00:01:55.6","3","--","--","--","--","--","--","--","--","00:32:52","00:54:11","34","54"
Strength Training,2025-11-28 12:00:57,false,"Strength","0.00","346","00:37:21","128","156","--","--","--","--","--","--","--","0.0","--","--","--","No","00:37:21","1","--","--","--","--","--","--","--","--","00:00:00","00:37:21","--","--"
Cycling,2025-11-20 17:06:34,false,"Berlin Cycling","8.58","361","00:41:38","132","157","--","--","12.4","24.7","55","52","--","0.0","--","--","--","No","00:16:26","2","--","--","--","--","--","--","--","--","00:30:18","00:41:38","26","59"
Cycling,2025-11-20 08:01:56,false,"Berlin Cycling","8.49","293","00:30:34","131","157","--","--","16.7","53.9","36","54","--","0.0","--","--","--","No","00:13:16","2","--","--","--","--","--","--","--","--","00:27:27","00:30:34","25","58"
Strength Training,2025-11-19 11:58:28,false,"Strength","0.00","337","00:35:42","130","148","--","--","--","--","--","--","--","0.0","--","--","--","No","00:35:42","1","--","--","--","--","--","--","--","--","00:00:00","00:35:42","--","--"
Cycling,2025-11-13 16:39:00,false,"Berlin Cycling","8.06","270","00:25:37","136","164","--","--","18.9","35.8","43","24","--","0.0","--","--","--","No","00:10:36","2","--","--","--","--","--","--","--","--","00:23:16","00:25:37","27","54"
Strength Training,2025-11-13 08:14:45,false,"Strength","0.00","161","00:22:05","116","160","--","--","--","--","--","--","--","0.0","--","--","--","No","00:22:05","1","--","--","--","--","--","--","--","--","00:00:00","00:22:05","--","--"
Cycling,2025-11-13 07:41:14,false,"Berlin Cycling","8.36","231","00:28:24","119","160","--","--","17.7","28.2","24","39","--","0.0","--","--","--","No","00:11:55","2","--","--","--","--","--","--","--","--","00:23:09","00:28:24","26","61"
Cycling,2025-11-11 17:24:17,false,"Berlin Cycling","9.29","310","00:36:12","126","149","--","--","15.4","33.1","77","62","--","0.0","--","--","--","No","00:17:04","2","--","--","--","--","--","--","--","--","00:29:32","00:36:12","29","62"
Strength Training,2025-11-11 08:13:51,false,"Strength","0.00","164","00:20:02","124","165","--","--","--","--","--","--","--","0.0","--","--","--","No","00:20:02","1","--","--","--","--","--","--","--","--","00:00:00","00:20:02","--","--"
Cycling,2025-11-11 07:37:16,false,"Berlin Cycling","8.48","299","00:27:53","138","166","--","--","18.2","29.4","26","42","--","0.0","--","--","--","No","00:11:59","2","--","--","--","--","--","--","--","--","00:24:58","00:27:53","25","59"
Strength Training,2025-11-07 12:41:35,false,"Strength","0.00","264","00:33:40","118","144","--","--","--","--","--","--","--","0.0","--","--","--","No","00:33:40","1","--","--","--","--","--","--","--","--","00:00:00","00:33:40","--","--"
Cycling,2025-11-06 17:25:21,false,"Berlin Cycling","8.22","304","00:27:59","122","157","--","--","17.6","26.8","47","32","--","0.0","--","--","--","No","00:10:54","2","--","--","--","--","--","--","--","--","00:25:41","00:27:59","27","56"
Cycling,2025-11-06 08:16:29,false,"Berlin Cycling","4.66","106","00:15:34","112","161","--","--","18.0","29.7","29","39","--","0.0","--","--","--","No","00:15:34","1","--","--","--","--","--","--","--","--","00:12:51","00:15:34","26","60"
Strength Training,2025-11-05 12:11:50,false,"Strength","0.00","291","00:36:55","119","142","--","--","--","--","--","--","--","0.0","--","--","--","No","00:36:55","1","--","--","--","--","--","--","--","--","00:00:00","00:36:55","--","--"
Cycling,2025-11-04 17:26:07,false,"Berlin Cycling","8.22","240","00:27:05","125","155","--","--","18.2","28.7","40","24","--","0.0","--","--","--","No","00:10:38","2","--","--","--","--","--","--","--","--","00:24:16","00:37:51","26","59"
Cycling,2025-11-04 07:54:03,false,"Berlin Cycling","8.50","315","00:29:08","139","173","--","--","17.5","123.2","38","99","--","0.0","--","--","--","No","00:11:46","2","--","--","--","--","--","--","--","--","00:25:14","00:29:08","26","94"
Strength Training,2025-10-31 12:18:23,false,"Strength","0.00","332","00:39:33","123","147","--","--","--","--","--","--","--","0.0","--","--","--","No","00:39:33","1","--","--","--","--","--","--","--","--","00:00:00","00:39:37","--","--"
Strength Training,2025-10-29 12:45:15,false,"Strength","0.00","276","00:31:09","125","150","--","--","--","--","--","--","--","0.0","--","--","--","No","00:31:09","1","--","--","--","--","--","--","--","--","00:00:00","00:31:09","--","--"
Strength Training,2025-10-29 12:32:35,false,"Strength","0.00","100","00:12:08","118","138","--","--","--","--","--","--","--","0.0","--","--","--","No","00:12:08","1","--","--","--","--","--","--","--","--","00:00:00","00:12:08","--","--"
Cycling,2025-10-28 07:50:22,false,"Berlin Cycling","8.48","222","00:28:13","117","147","--","--","18.0","36.9","17","34","--","0.0","--","--","--","No","00:11:45","2","--","--","--","--","--","--","--","--","00:24:46","00:28:13","26","60"
Strength Training,2025-10-24 12:13:43,false,"Strength","0.00","312","00:38:13","121","143","--","--","--","--","--","--","--","0.0","--","--","--","No","00:38:13","1","--","--","--","--","--","--","--","--","00:00:00","00:38:13","--","--"
Cycling,2025-10-23 07:50:03,false,"Berlin Cycling","8.36","281","00:27:00","134","158","--","--","18.6","28.2","32","46","--","0.0","--","--","--","No","00:11:52","2","--","--","--","--","--","--","--","--","00:24:19","00:27:00","26","58"
Strength Training,2025-10-22 12:42:28,false,"Strength","0.00","388","00:41:56","130","157","--","--","--","--","--","--","--","0.0","--","--","--","No","00:41:56","1","--","--","--","--","--","--","--","--","00:00:00","00:41:56","--","--"
Strength Training,2025-10-17 12:22:02,false,"Strength","0.00","356","00:38:41","129","149","--","--","--","--","--","--","--","0.0","--","--","--","No","00:38:41","1","--","--","--","--","--","--","--","--","00:00:00","00:38:41","--","--"
Cycling,2025-10-16 08:02:26,false,"Berlin Cycling","8.18","283","00:27:15","135","161","--","--","18.0","29.3","37","53","--","0.0","--","--","--","No","00:10:40","2","--","--","--","--","--","--","--","--","00:23:57","00:27:15","25","60"
Strength Training,2025-10-15 11:33:13,false,"Strength","0.00","343","00:38:03","127","157","--","--","--","--","--","--","--","0.0","--","--","--","No","00:38:03","1","--","--","--","--","--","--","--","--","00:00:00","00:38:03","--","--"
Walking,2025-10-09 12:47:08,false,"Voufrades Walking","2.65","383","01:11:50","104","142","18","160","27:06","6:03","236","233","15.04","0.0","1,842","--","--","No","00:18:16","3","--","--","--","--","--","--","--","--","00:17:10","01:45:00","236","320"
Cycling,2025-09-25 17:59:16,false,"Berlin Cycling","8.14","308","00:26:40","145","172","--","--","18.3","33.5","42","27","--","0.0","--","--","--","No","00:11:02","2","--","--","--","--","--","--","--","--","00:23:48","00:26:40","27","57"
Cycling,2025-09-25 08:43:17,false,"Berlin Cycling","8.40","219","00:23:24","128","169","--","--","21.5","37.3","18","32","--","0.0","--","--","--","No","00:09:50.9","2","--","--","--","--","--","--","--","--","00:21:38","00:23:24","26","61"
Strength Training,2025-09-23 08:11:18,false,"Strength","0.00","207","00:25:17","123","160","--","--","--","--","--","--","--","0.0","--","--","--","No","00:25:17","1","--","--","--","--","--","--","--","--","00:00:00","00:25:17","--","--"
Cycling,2025-09-23 07:40:53,false,"Berlin Cycling","8.45","229","00:24:08","127","154","--","--","21.0","43.1","42","60","--","0.0","--","--","--","No","00:09:58.4","2","--","--","--","--","--","--","--","--","00:23:00","00:24:08","25","60"
Cycling,2025-09-21 00:55:00,false,"Berlin Cycling","9.41","251","00:31:16","120","140","--","--","18.1","25.4","34","24","--","0.0","--","--","--","No","00:13:46","2","--","--","--","--","--","--","--","--","00:29:23","00:31:16","32","53"
Cycling,2025-09-20 19:51:59,false,"Berlin Cycling","5.39","162","00:17:28","126","155","--","--","18.5","31.0","31","36","--","0.0","--","--","--","No","00:01:41.0","2","--","--","--","--","--","--","--","--","00:15:27","00:17:28","34","52"
Cycling,2025-09-20 17:17:41,false,"Berlin Cycling","6.40","286","00:26:09","142","169","--","--","14.7","30.7","20","66","--","0.0","--","--","--","No","00:06:21.9","2","--","--","--","--","--","--","--","--","00:20:32","00:29:01","42","94"
Cycling,2025-09-19 20:16:23,false,"Berlin Cycling","3.33","176","00:21:22","123","160","--","--","9.3","32.5","14","10","--","0.0","--","--","--","No","00:21:22","1","--","--","--","--","--","--","--","--","00:13:25","00:21:22","50","63"
Cycling,2025-09-19 17:21:38,false,"Berlin Cycling","6.79","222","00:24:01","128","155","--","--","17.0","26.7","12","17","--","0.0","--","--","--","No","00:07:02.3","2","--","--","--","--","--","--","--","--","00:20:25","00:24:26","44","58"
Cycling,2025-09-18 17:05:35,false,"Berlin Cycling","8.19","290","00:26:44","139","168","--","--","18.4","42.4","31","18","--","0.0","--","--","--","No","00:10:52","2","--","--","--","--","--","--","--","--","00:22:46","00:26:44","26","56"
Strength Training,2025-09-18 08:19:52,false,"Strength","0.00","207","00:23:38","139","163","--","--","--","--","--","--","--","0.0","--","--","--","No","00:23:38","1","--","--","--","--","--","--","--","--","00:00:00","00:23:38","--","--"
Cycling,2025-09-18 07:44:37,false,"Berlin Cycling","8.41","263","00:28:04","129","156","--","--","18.0","30.8","26","41","--","0.0","--","--","--","No","00:12:08","2","--","--","--","--","--","--","--","--","00:24:45","00:28:04","25","59"
Cycling,2025-09-16 16:38:59,false,"Berlin Cycling","4.69","216","00:21:46","133","164","--","--","12.9","30.9","48","51","--","0.0","--","--","--","No","00:21:46","1","--","--","--","--","--","--","--","--","00:16:07","00:21:46","27","74"
Cycling,2025-09-16 07:52:20,false,"Berlin Cycling","8.26","285","00:26:21","140","168","--","--","18.8","29.3","19","37","--","0.0","--","--","--","No","00:10:29","2","--","--","--","--","--","--","--","--","00:23:27","00:26:21","26","59"
Cycling,2025-09-06 17:59:17,false,"Berlin Cycling","6.53","192","00:20:29","130","155","--","--","19.1","28.5","6","4","--","0.0","--","--","--","No","00:05:31.1","2","--","--","--","--","--","--","--","--","00:19:24","00:20:29","45","56"
Strength Training,2025-09-06 16:41:23,false,"Strength","0.00","305","00:40:49","118","144","--","--","--","--","--","--","--","0.0","--","--","--","No","00:40:49","1","--","--","--","--","--","--","--","--","00:00:00","00:40:49","--","--"
Cycling,2025-09-04 17:06:52,false,"Berlin Cycling","8.18","270","00:24:35","141","161","--","--","20.0","31.3","46","30","--","0.0","--","--","--","No","00:09:19.8","2","--","--","--","--","--","--","--","--","00:22:43","00:24:35","26","57"
Strength Training,2025-09-04 08:19:13,false,"Strength","0.00","218","00:20:48","138","157","--","--","--","--","--","--","--","0.0","--","--","--","No","00:20:48","1","--","--","--","--","--","--","--","--","00:00:00","00:20:48","--","--"
Cycling,2025-09-04 07:48:12,false,"Berlin Cycling","8.38","227","00:24:12","128","158","--","--","20.8","32.4","29","43","--","0.0","--","--","--","No","00:09:42.6","2","--","--","--","--","--","--","--","--","00:22:49","00:24:12","26","58"
Cycling,2025-09-02 07:41:12,false,"Berlin Cycling","2.82","66","00:11:43","101","118","--","--","14.4","64.8","1","4","--","0.0","--","--","--","No","00:11:43","1","--","--","--","--","--","--","--","--","00:10:09","00:11:43","43","53"
Strength Training,2025-08-26 17:15:15,false,"Bouldern","0.00","532","01:26:37","116","152","--","--","--","--","--","--","--","0.0","--","--","--","No","01:26:37","1","--","--","--","--","--","--","--","--","00:00:00","01:26:37","--","--"
Cycling,2025-08-26 16:47:01,false,"Berlin Cycling","6.45","213","00:20:17","131","164","--","--","19.1","32.2","40","27","--","0.0","--","--","--","No","00:04:59.4","2","--","--","--","--","--","--","--","--","00:17:39","00:20:17","27","56"
Strength Training,2025-08-26 08:19:36,false,"Strength","0.00","202","00:23:59","127","157","--","--","--","--","--","--","--","0.0","--","--","--","No","00:23:59","1","--","--","--","--","--","--","--","--","00:00:00","00:23:59","--","--"
Cycling,2025-08-26 07:48:01,false,"Berlin Cycling","8.47","229","00:26:25","124","152","--","--","19.2","32.1","27","44","--","0.0","--","--","--","No","00:11:12","2","--","--","--","--","--","--","--","--","00:23:31","00:26:25","26","58"
Cycling,2025-08-21 17:36:46,false,"Berlin Cycling","8.07","257","00:27:46","130","155","--","--","17.4","28.1","32","15","--","0.0","--","--","--","No","00:11:56","2","--","--","--","--","--","--","--","--","00:24:42","00:28:26","26","55"
Strength Training,2025-08-21 08:20:39,false,"Strength","0.00","205","00:26:16","122","154","--","--","--","--","--","--","--","0.0","--","--","--","No","00:26:16","1","--","--","--","--","--","--","--","--","00:00:00","00:26:16","--","--"
Cycling,2025-08-21 07:48:39,false,"Berlin Cycling","8.49","201","00:25:26","119","139","--","--","20.0","28.5","30","47","--","0.0","--","--","--","No","00:10:01","2","--","--","--","--","--","--","--","--","00:22:46","00:25:26","27","61"
Cycling,2025-08-18 16:40:52,false,"Berlin Cycling","8.14","260","00:26:11","132","167","--","--","18.6","31.9","51","37","--","0.0","--","--","--","No","00:10:31","2","--","--","--","--","--","--","--","--","00:23:07","00:26:11","26","57"
Cycling,2025-08-18 08:49:27,false,"Berlin Cycling","8.50","219","00:23:52","127","163","--","--","21.4","31.9","19","40","--","0.0","--","--","--","No","00:09:34.8","2","--","--","--","--","--","--","--","--","00:22:19","00:23:52","27","57"
Strength Training,2025-08-14 08:17:31,false,"Strength","0.00","218","00:23:33","132","162","--","--","--","--","--","--","--","0.0","--","--","--","No","00:23:33","1","--","--","--","--","--","--","--","--","00:00:00","00:23:33","--","--"
Cycling,2025-08-14 07:46:37,false,"Berlin Cycling","8.40","239","00:24:59","130","165","--","--","20.2","32.1","33","48","--","0.0","--","--","--","No","00:10:05","2","--","--","--","--","--","--","--","--","00:22:03","00:24:59","25","59"
Cycling,2025-08-12 19:04:50,false,"Berlin Cycling","5.21","188","00:15:48","149","163","--","--","19.8","29.8","10","20","--","0.0","--","--","--","No","00:00:38.2","2","--","--","--","--","--","--","--","--","00:14:25","00:15:48","43","59"
Strength Training,2025-08-12 08:20:36,false,"Strength","0.00","223","00:23:46","131","155","--","--","--","--","--","--","--","0.0","--","--","--","No","00:23:46","1","--","--","--","--","--","--","--","--","00:00:00","00:23:46","--","--"
